================ Training Loss (Wed May  6 09:01:39 2026) ================
(epoch: 1, iters: 10400, time: 0.016, data: 0.228) G_GAN: -1.365611 G_L1: 0.448327 PlateNum_L1: 0.000000 D_GAN: 0.403107 P_loss: 0.538062 D_real: -0.643016 D_fake: 1.449231 D_s: 0.649144 
(epoch: 2, iters: 10368, time: 0.015, data: 0.005) G_GAN: -3.186810 G_L1: 0.449824 PlateNum_L1: 0.000000 D_GAN: 0.321870 P_loss: 0.501487 D_real: -2.632596 D_fake: 3.276335 D_s: 0.678637 
(epoch: 3, iters: 10336, time: 0.015, data: 0.004) G_GAN: -5.098339 G_L1: 0.441094 PlateNum_L1: 0.000000 D_GAN: 0.559284 P_loss: 0.458702 D_real: -4.090994 D_fake: 5.209562 D_s: 0.658066 
(epoch: 4, iters: 10304, time: 0.016, data: 0.005) G_GAN: -6.688244 G_L1: 0.473615 PlateNum_L1: 0.000000 D_GAN: 0.620466 P_loss: 0.400324 D_real: -5.577854 D_fake: 6.818785 D_s: 0.657062 
(epoch: 5, iters: 10272, time: 0.016, data: 0.005) G_GAN: -7.533391 G_L1: 0.456916 PlateNum_L1: 0.000000 D_GAN: 0.744339 P_loss: 0.436028 D_real: -6.169291 D_fake: 7.657969 D_s: 0.652901 
(epoch: 6, iters: 10240, time: 0.016, data: 0.005) G_GAN: -7.757303 G_L1: 0.444956 PlateNum_L1: 0.000000 D_GAN: 0.914510 P_loss: 0.425934 D_real: -6.122340 D_fake: 7.951359 D_s: 0.640590 
(epoch: 7, iters: 10208, time: 0.016, data: 0.005) G_GAN: -8.307616 G_L1: 0.463480 PlateNum_L1: 0.000000 D_GAN: 0.912751 P_loss: 0.438741 D_real: -6.652161 D_fake: 8.477663 D_s: 0.655613 
(epoch: 8, iters: 10176, time: 0.016, data: 0.005) G_GAN: -8.200064 G_L1: 0.456470 PlateNum_L1: 0.000000 D_GAN: 1.039131 P_loss: 0.419478 D_real: -6.258279 D_fake: 8.336541 D_s: 0.652659 
(epoch: 9, iters: 10144, time: 0.016, data: 0.005) G_GAN: -8.113900 G_L1: 0.447490 PlateNum_L1: 0.000000 D_GAN: 1.006572 P_loss: 0.423313 D_real: -6.181293 D_fake: 8.194439 D_s: 0.656446 
(epoch: 10, iters: 10112, time: 0.023, data: 0.005) G_GAN: -7.405408 G_L1: 0.456686 PlateNum_L1: 0.000000 D_GAN: 0.852646 P_loss: 0.424443 D_real: -5.915916 D_fake: 7.621208 D_s: 0.638194 
(epoch: 11, iters: 10080, time: 0.014, data: 0.004) G_GAN: -7.637436 G_L1: 0.465138 PlateNum_L1: 0.000000 D_GAN: 0.903590 P_loss: 0.417656 D_real: -6.042821 D_fake: 7.850002 D_s: 0.670105 
(epoch: 12, iters: 10048, time: 0.016, data: 0.004) G_GAN: -7.341935 G_L1: 0.459119 PlateNum_L1: 0.000000 D_GAN: 0.966568 P_loss: 0.430355 D_real: -5.635266 D_fake: 7.568402 D_s: 0.656601 
(epoch: 13, iters: 10016, time: 0.016, data: 0.005) G_GAN: -8.117717 G_L1: 0.441103 PlateNum_L1: 0.000000 D_GAN: 1.041038 P_loss: 0.406841 D_real: -6.234796 D_fake: 8.316872 D_s: 0.653369 
(epoch: 14, iters: 9984, time: 0.016, data: 0.005) G_GAN: -8.214287 G_L1: 0.434153 PlateNum_L1: 0.000000 D_GAN: 1.027374 P_loss: 0.356177 D_real: -6.302579 D_fake: 8.357327 D_s: 0.666596 
(epoch: 15, iters: 9952, time: 0.017, data: 0.005) G_GAN: -8.472878 G_L1: 0.449786 PlateNum_L1: 0.000000 D_GAN: 1.084454 P_loss: 0.346351 D_real: -6.444898 D_fake: 8.613807 D_s: 0.652434 
(epoch: 16, iters: 9920, time: 0.016, data: 0.005) G_GAN: -9.165900 G_L1: 0.437580 PlateNum_L1: 0.000000 D_GAN: 1.155494 P_loss: 0.403118 D_real: -7.026783 D_fake: 9.337772 D_s: 0.633730 
(epoch: 17, iters: 9888, time: 0.017, data: 0.005) G_GAN: -8.337386 G_L1: 0.410743 PlateNum_L1: 0.000000 D_GAN: 1.161311 P_loss: 0.334684 D_real: -6.062843 D_fake: 8.385466 D_s: 0.656621 
(epoch: 18, iters: 9856, time: 0.017, data: 0.005) G_GAN: -8.306182 G_L1: 0.419349 PlateNum_L1: 0.000000 D_GAN: 1.167728 P_loss: 0.361313 D_real: -6.004974 D_fake: 8.340431 D_s: 0.646674 
(epoch: 19, iters: 9824, time: 0.017, data: 0.005) G_GAN: -7.676103 G_L1: 0.423346 PlateNum_L1: 0.000000 D_GAN: 1.188005 P_loss: 0.340056 D_real: -5.244720 D_fake: 7.620731 D_s: 0.655725 
(epoch: 20, iters: 9792, time: 0.017, data: 0.004) G_GAN: -6.999375 G_L1: 0.445492 PlateNum_L1: 0.000000 D_GAN: 1.034543 P_loss: 0.343277 D_real: -5.173613 D_fake: 7.242699 D_s: 0.640725 
(epoch: 21, iters: 9760, time: 0.017, data: 0.005) G_GAN: -6.344736 G_L1: 0.437414 PlateNum_L1: 0.000000 D_GAN: 1.280956 P_loss: 0.359198 D_real: -3.815429 D_fake: 6.377340 D_s: 0.649361 
(epoch: 22, iters: 9728, time: 0.017, data: 0.005) G_GAN: -6.571245 G_L1: 0.413803 PlateNum_L1: 0.000000 D_GAN: 1.176266 P_loss: 0.320382 D_real: -4.298926 D_fake: 6.651459 D_s: 0.661295 
(epoch: 23, iters: 9696, time: 0.017, data: 0.005) G_GAN: -6.430234 G_L1: 0.415020 PlateNum_L1: 0.000000 D_GAN: 1.147984 P_loss: 0.314312 D_real: -4.217230 D_fake: 6.513198 D_s: 0.650628 
(epoch: 24, iters: 9664, time: 0.016, data: 0.005) G_GAN: -6.339564 G_L1: 0.416958 PlateNum_L1: 0.000000 D_GAN: 1.170858 P_loss: 0.362241 D_real: -4.046990 D_fake: 6.388706 D_s: 0.641255 
(epoch: 25, iters: 9632, time: 0.017, data: 0.004) G_GAN: -5.694832 G_L1: 0.436174 PlateNum_L1: 0.000000 D_GAN: 0.955528 P_loss: 0.312796 D_real: -4.198162 D_fake: 6.109217 D_s: 0.645611 
(epoch: 26, iters: 9600, time: 0.017, data: 0.003) G_GAN: -6.157760 G_L1: 0.410770 PlateNum_L1: 0.000000 D_GAN: 1.163234 P_loss: 0.333581 D_real: -3.917715 D_fake: 6.244182 D_s: 0.653841 
(epoch: 27, iters: 9568, time: 0.017, data: 0.004) G_GAN: -5.436192 G_L1: 0.479511 PlateNum_L1: 0.000000 D_GAN: 1.194837 P_loss: 0.383188 D_real: -3.840658 D_fake: 6.230331 D_s: 0.642266 
(epoch: 28, iters: 9536, time: 0.017, data: 0.004) G_GAN: -5.871143 G_L1: 0.420082 PlateNum_L1: 0.000000 D_GAN: 1.252409 P_loss: 0.313301 D_real: -3.435982 D_fake: 5.940800 D_s: 0.649310 
(epoch: 29, iters: 9504, time: 0.017, data: 0.004) G_GAN: -5.766878 G_L1: 0.421588 PlateNum_L1: 0.000000 D_GAN: 1.196836 P_loss: 0.324053 D_real: -3.422884 D_fake: 5.816556 D_s: 0.643653 
(epoch: 30, iters: 9472, time: 0.017, data: 0.004) G_GAN: -5.774847 G_L1: 0.433462 PlateNum_L1: 0.000000 D_GAN: 1.192774 P_loss: 0.296218 D_real: -3.442824 D_fake: 5.828372 D_s: 0.682792 
(epoch: 31, iters: 9440, time: 0.017, data: 0.004) G_GAN: -5.561672 G_L1: 0.437840 PlateNum_L1: 0.000000 D_GAN: 1.103896 P_loss: 0.350861 D_real: -3.597291 D_fake: 5.805083 D_s: 0.672282 
(epoch: 32, iters: 9408, time: 0.018, data: 0.004) G_GAN: -5.636845 G_L1: 0.446325 PlateNum_L1: 0.000000 D_GAN: 1.173562 P_loss: 0.401006 D_real: -3.364189 D_fake: 5.711312 D_s: 0.651704 
(epoch: 33, iters: 9376, time: 0.017, data: 0.004) G_GAN: -5.707347 G_L1: 0.426319 PlateNum_L1: 0.000000 D_GAN: 1.234829 P_loss: 0.319613 D_real: -3.246526 D_fake: 5.716186 D_s: 0.647923 
(epoch: 34, iters: 9344, time: 0.017, data: 0.003) G_GAN: -5.668699 G_L1: 0.441294 PlateNum_L1: 0.000000 D_GAN: 1.155390 P_loss: 0.357506 D_real: -3.409742 D_fake: 5.720522 D_s: 0.646581 
(epoch: 35, iters: 9312, time: 0.018, data: 0.005) G_GAN: -5.499300 G_L1: 0.435707 PlateNum_L1: 0.000000 D_GAN: 1.181814 P_loss: 0.338351 D_real: -3.153306 D_fake: 5.516934 D_s: 0.649860 
(epoch: 36, iters: 9280, time: 0.018, data: 0.004) G_GAN: -5.490779 G_L1: 0.434689 PlateNum_L1: 0.000000 D_GAN: 1.223655 P_loss: 0.323219 D_real: -3.088593 D_fake: 5.535903 D_s: 0.651467 
(epoch: 37, iters: 9248, time: 0.017, data: 0.004) G_GAN: -5.631470 G_L1: 0.433123 PlateNum_L1: 0.000000 D_GAN: 1.177864 P_loss: 0.355710 D_real: -3.328769 D_fake: 5.684497 D_s: 0.637461 
(epoch: 38, iters: 9216, time: 0.018, data: 0.004) G_GAN: -5.396724 G_L1: 0.414376 PlateNum_L1: 0.000000 D_GAN: 1.253231 P_loss: 0.276472 D_real: -2.948397 D_fake: 5.454859 D_s: 0.661808 
