================ Training Loss (Wed May  6 09:01:56 2026) ================
(epoch: 1, iters: 10400, time: 0.016, data: 0.271) G_GAN: -1.288260 G_L1: 0.423429 PlateNum_L1: 0.000000 D_GAN: 0.563816 P_loss: 0.568387 D_real: -0.257816 D_fake: 1.385448 D_s: 0.803816 
(epoch: 2, iters: 10368, time: 0.016, data: 0.005) G_GAN: -2.800536 G_L1: 0.422216 PlateNum_L1: 0.000000 D_GAN: 0.618733 P_loss: 0.497227 D_real: -1.727250 D_fake: 2.964716 D_s: 0.731612 
(epoch: 3, iters: 10336, time: 0.016, data: 0.005) G_GAN: -4.885421 G_L1: 0.449784 PlateNum_L1: 0.000000 D_GAN: 0.651084 P_loss: 0.515844 D_real: -3.726376 D_fake: 5.028543 D_s: 0.771560 
(epoch: 4, iters: 10304, time: 0.015, data: 0.005) G_GAN: -7.306667 G_L1: 0.451823 PlateNum_L1: 0.000000 D_GAN: 0.737352 P_loss: 0.529595 D_real: -6.064107 D_fake: 7.538811 D_s: 0.802745 
(epoch: 5, iters: 10272, time: 0.016, data: 0.005) G_GAN: -9.575990 G_L1: 0.438243 PlateNum_L1: 0.000000 D_GAN: 0.823366 P_loss: 0.477185 D_real: -8.055439 D_fake: 9.702171 D_s: 0.784937 
(epoch: 6, iters: 10240, time: 0.015, data: 0.005) G_GAN: -11.547523 G_L1: 0.448755 PlateNum_L1: 0.000000 D_GAN: 0.788110 P_loss: 0.442630 D_real: -10.298136 D_fake: 11.874355 D_s: 0.773312 
(epoch: 7, iters: 10208, time: 0.016, data: 0.005) G_GAN: -13.361846 G_L1: 0.454270 PlateNum_L1: 0.000000 D_GAN: 0.903039 P_loss: 0.476822 D_real: -11.695961 D_fake: 13.502037 D_s: 0.780334 
(epoch: 8, iters: 10176, time: 0.014, data: 0.005) G_GAN: -14.941284 G_L1: 0.433054 PlateNum_L1: 0.000000 D_GAN: 0.914796 P_loss: 0.406828 D_real: -13.210239 D_fake: 15.039832 D_s: 0.750378 
(epoch: 9, iters: 10144, time: 0.016, data: 0.004) G_GAN: -15.975935 G_L1: 0.423217 PlateNum_L1: 0.000000 D_GAN: 0.945929 P_loss: 0.436505 D_real: -14.326635 D_fake: 16.218493 D_s: 0.796205 
(epoch: 10, iters: 10112, time: 0.016, data: 0.005) G_GAN: -16.501514 G_L1: 0.419282 PlateNum_L1: 0.000000 D_GAN: 1.011783 P_loss: 0.409708 D_real: -14.718310 D_fake: 16.741875 D_s: 0.773833 
(epoch: 11, iters: 10080, time: 0.017, data: 0.005) G_GAN: -17.497570 G_L1: 0.433013 PlateNum_L1: 0.000000 D_GAN: 0.938822 P_loss: 0.452367 D_real: -15.539722 D_fake: 17.417368 D_s: 0.796957 
(epoch: 12, iters: 10048, time: 0.016, data: 0.005) G_GAN: -17.547108 G_L1: 0.404981 PlateNum_L1: 0.000000 D_GAN: 1.023586 P_loss: 0.365848 D_real: -15.590690 D_fake: 17.637863 D_s: 0.786486 
(epoch: 13, iters: 10016, time: 0.016, data: 0.005) G_GAN: -17.800312 G_L1: 0.441481 PlateNum_L1: 0.000000 D_GAN: 0.998648 P_loss: 0.446987 D_real: -15.909588 D_fake: 17.906885 D_s: 0.797766 
(epoch: 14, iters: 9984, time: 0.016, data: 0.005) G_GAN: -18.390697 G_L1: 0.407947 PlateNum_L1: 0.000000 D_GAN: 1.099279 P_loss: 0.338697 D_real: -16.270988 D_fake: 18.469547 D_s: 0.784151 
(epoch: 15, iters: 9952, time: 0.017, data: 0.005) G_GAN: -18.229713 G_L1: 0.412882 PlateNum_L1: 0.000000 D_GAN: 1.019126 P_loss: 0.332640 D_real: -16.386568 D_fake: 18.424820 D_s: 0.790459 
(epoch: 16, iters: 9920, time: 0.016, data: 0.005) G_GAN: -18.098621 G_L1: 0.426218 PlateNum_L1: 0.000000 D_GAN: 1.054874 P_loss: 0.407521 D_real: -16.175781 D_fake: 18.285528 D_s: 0.764880 
(epoch: 17, iters: 9888, time: 0.017, data: 0.005) G_GAN: -18.538895 G_L1: 0.427577 PlateNum_L1: 0.000000 D_GAN: 1.022877 P_loss: 0.379654 D_real: -16.709778 D_fake: 18.755533 D_s: 0.779409 
(epoch: 18, iters: 9856, time: 0.017, data: 0.005) G_GAN: -18.934380 G_L1: 0.413399 PlateNum_L1: 0.000000 D_GAN: 1.115047 P_loss: 0.378147 D_real: -16.801296 D_fake: 19.031389 D_s: 0.776045 
(epoch: 19, iters: 9824, time: 0.016, data: 0.005) G_GAN: -19.164560 G_L1: 0.428519 PlateNum_L1: 0.000000 D_GAN: 1.072194 P_loss: 0.408189 D_real: -17.151863 D_fake: 19.296251 D_s: 0.784012 
(epoch: 20, iters: 9792, time: 0.017, data: 0.003) G_GAN: -19.012653 G_L1: 0.412755 PlateNum_L1: 0.000000 D_GAN: 1.110831 P_loss: 0.389002 D_real: -16.870893 D_fake: 19.092556 D_s: 0.766514 
(epoch: 21, iters: 9760, time: 0.017, data: 0.004) G_GAN: -18.800508 G_L1: 0.410947 PlateNum_L1: 0.000000 D_GAN: 1.158753 P_loss: 0.352071 D_real: -16.544716 D_fake: 18.862221 D_s: 0.789861 
